,ID,Section,Temperature,Density,Fail,Max Stress (MPA),Force (N),Extension (mm),yield point,Force (N),Extension (mm)
187,Sua,RLS,200,0.762,1,9.62384953981593,1202.5,0.766,9.62384953981593,1202.5,0.766
188,Sua,TS,300,0.762,1,17.1527426160338,1016.3,1.092,16.4776371308017,976.3,0.942
189,Sua,TS,300,0.762,1,25.1493428912784,1263,1.026,25.1493428912784,1263,1.026
190,Sua,RLS,300,0.762,1,3.61485785432662,348.4,0.902,1.44428304627516,139.2,0.292
191,Sua,RLS,300,0.762,1,4.21464368659088,344.8,0.512,4.21464368659088,344.8,0.512
192,Sua,TS,400,0.762,1,4.70375939849624,312.8,0.762,3.12781954887218,208,0.352
193,Sua,TS,400,0.762,1,4.44897496885264,392.8,0.802,3.7240910635406,328.8,0.492
194,Sua,RLS,400,0.762,1,0.526315789473684,45,1.792,0.210526315789474,18,0.262
195,Sua,RLS,400,0.762,2,0.508695652173913,46.8,1.94,0.429347826086957,39.5,0.472
196,Xer,TS,200,0.609,2,28.349932095971,5010,1.65,,,
197,Xer,TS,200,0.609,1,8.44444444444444,2888,1.382,8.44444444444444,2888,1.382
198,Xer,RLS,200,0.609,1,15.0426887112075,4440,3.47,15.0426887112075,4440,3.47
199,Xer,RLS,200,0.609,1,4.35294117647059,888,1.012,3.88725490196078,793,0.732
200,Xer,TS,300,0.609,1,5.13368397983783,1405.5,2.284,5.00767039228578,1371,1.664
201,Xer,TS,300,0.609,2,4.65628847146658,1172.5,2.504,1.61828362654382,407.5,0.688
202,Xer,RLS,300,0.609,1,3.15740740740741,511.5,2.044,0.685185185185185,111,0.492
203,Xer,RLS,300,0.609,1,1.84812623274162,468.5,1.244,1.84812623274162,468.5,1.244
204,Xer,TS,400,0.609,2,2.75498802873105,863,2.296,0.664006384676776,208,0.596
205,Xer,RLS,400,0.609,1,1.00749063670412,161.4,1.995,0.620474406991261,99.4,0.575
206,Ziz nu,TS,200,0.718,1,28.2956163949992,1788,1.625,28.2956163949992,1788,1.625
207,Ziz nu,TS,200,0.718,1,35.983026874116,3816,2.185,35.983026874116,3816,2.185
208,Ziz nu,RLS,200,0.718,2,27.9124778237729,1888,5.693,11.9160260201064,806,3.338
209,Ziz nu,RLS,200,0.718,1,9.54795439302482,711.8,0.584,9.54795439302482,711.8,0.584
210,Ziz nu,TS,300,0.718,1,14.5109395109395,1127.5,0.675,11.7117117117117,910,0.435
211,Ziz nu,TS,300,0.718,1,1.58424025347844,230,3.73,0.630252100840336,91.5,0.515
212,Ziz nu,RLS,300,0.718,2,10.1559251559252,1465.5,3.912,0.987525987525987,142.5,0.324
213,Ziz nu,RLS,300,0.718,1,3.27536231884058,271.2,4.03,2.98550724637681,247.2,0.875
214,Ziz nu,TS,400,0.718,1,3.78467908902692,182.8,0.664,1.37474120082816,66.4,0.332
215,Ziz nu,RLS,400,0.718,1,1.85645844849825,100.75,3.82,26.3743455497382,79.88,0.556
