step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-350M2	70	0	0	0	0	3	2	4	82	0	22	0	22	19	6	0	41	3	0	0	0	0	28	2	0	0	4	16	0	0	0	0		
1-400M2	80	0	0	0	0	3	2	4	95	3	25	1	29	22	9	0	42	3	0	0	0	0	29	2	0	0	4	18	0	0	0	0		
1-450M2	96	0	0	0	0	5	2	5	100	4	27	1	31	25	9	0	48	3	0	0	0	0	29	2	0	0	4	21	0	0	1	1		
1-500M2	114	0	0	0	0	5	2	5	107	5	31	1	34	27	9	0	53	4	0	0	0	0	29	2	0	0	4	22	0	0	3	1		
1-550M2	131	0	0	0	0	5	3	5	114	6	33	1	37	28	9	0	57	7	0	0	0	0	29	2	0	0	4	22	0	0	5	1		
1-600M2	148	0	0	0	0	5	3	5	122	7	35	1	37	28	10	0	64	7	0	0	0	0	30	2	0	0	4	24	0	0	10	1		
1-50M3	27	0	0	0	0	0	0	0	4	1	1	0	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
1-100M3	44	1	0	0	0	0	0	0	12	1	2	0	5	5	1	0	1	0	0	0	0	0	4	0	0	0	0	4	0	0	1	0		
1-150M3	60	1	0	0	0	3	1	0	22	1	4	0	7	7	1	0	4	0	0	0	0	0	4	0	0	0	0	6	0	1	2	0		
1-200M3	85	1	0	0	0	4	2	1	28	1	5	0	10	9	2	0	4	0	0	0	0	0	5	0	0	0	0	6	0	1	5	0		
